Datacenter,Rack,Elevation,Hostname,Domain,Model,Host Serial Num,Chassis Serial Num,Service Tag,UW,CSL,Morgridge,Notes
CS2360,8S-207,37,e2336,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V27V,,FCH1819V27V,U011184,,,
CS2360,8S-207,38,e2337,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V075,,FCH1819V075,U011185,,,
CS2360,8S-207,39,e2338,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V16C,,FCH1819V16C,U011186,,,
CS2360,8S-207,40,e2339,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V1CY,,FCH1818V1CY,U011187,,,
CS2360,8S-206,10,e2350,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V1BE,,FCH1818V1BE,U011198,,,
CS2360,8S-206,11,e2351,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V0ZX,,FCH1818V0ZX,U011199,,,Host is down. - Ryan
CS2360,8S-206,12,e2352,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V06G,,FCH1819V06G,U011200,,,
CS2360,8S-206,13,e2353,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V1ST,,FCH1818V1ST,U011201,,,
CS2360,8S-206,14,e2354,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V1DQ,,FCH1818V1DQ,U011202,,,
CS2360,8S-206,16,e2356,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V1KB,,FCH1818V1KB,U011204,,,Host not on icinga and is down. Investigate later? - Ryan
CS2360,8S-206,17,e2357,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V01Z,,FCH1819V01Z,U011205,,,
CS2360,8S-206,18,e2358,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V1RT,,FCH1819V1RT,U011206,,,
CS2360,8S-206,20,e2360,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V024,,FCH1819V024,U011208,,,
CS2360,8S-206,21,e2361,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V07Z,,FCH1819V07Z,U011209,,,
CS2360,8S-206,22,e2362,chtc.wisc.edu,Cisco UCS C220 M3,FCH1820V04M,,FCH1820V04M,U011210,,,Host not on icinga and down? Investigate in WID.  - Ryan
CS2360,8S-206,23,e2363,chtc.wisc.edu,Cisco UCS C220 M3,FCH1820V06S,,FCH1820V06S,U011211,,,
CS2360,8S-206,24,e2364,chtc.wisc.edu,Cisco UCS C220 M3,FCH1829V048,,FCH1829V048,U011212,,,
CS2360,8S-206,26,e2366,chtc.wisc.edu,Cisco UCS C220 M3,FCH1829V06C,,FCH1829V06C,U011214,,,
CS2360,8S-206,33,e2373,chtc.wisc.edu,Cisco UCS C220 M3,FCH1820V0DR,,FCH1820V0DR,U011221,,,
CS2360,8S-209,13,e2385,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V033,,FCH1819V033,U011233,,,Host is down. Investigate - Ryan
CS2360,8S-209,14,e2386,chtc.wisc.edu,Cisco UCS C220 M3,FCH1820V06U,,FCH1820V06U,U011234,,,Host is down. Investigate - Ryan
CS2360,8S-209,16,e2387,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V084,,FCH1819V084,U011235,,,SSH connections are timing out. Console directly to get serial #. - Ryan
CS2360,8S-209,15,e2388,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V1B5,,FCH1819V1B5,U011236,,,Host not on incinga. Investigate physical location. - Ryan
CS2360,8S-209,31,e2389,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V082,,FCH1819V082,U011237,,,SSH connections timing out. Console directly. - Ryan
CS2360,8S-209,32,e2390,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V2NR,,FCH1819V2NR,U011238,,,Host is down. Investigate - Ryan
CS2360,8S-209,34,e2391,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V074,,FCH1819V074,U011239,,,Host is down. Investigate - Ryan
CS2360,8S-205,13,e2392,chtc.wisc.edu,Cisco UCS C220 M3,FCH1820V06V,,FCH1820V06V,U011240,,,
CS2360,8S-205,14,e2393,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V2CF,,FCH1819V2CF,U011241,,,
CS2360,8S-205,16,e2395,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V15N,,FCH1818V15N,U011243,,,
CS2360,8S-205,17,e2396,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V1NX,,FCH1818V1NX,U911244,,,
CS2360,8S-205,18,e2397,chtc.wisc.edu,Cisco UCS C220 M3,FCH1820V0D6,,FCH1820V0D6,U911245,,,
CS2360,8S-205,19,e2398,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V07M,,FCH1819V07M,U911246,,,
